Presence,Aspect,BulkDensity,CEC,Clay,Curvature,Elevation,SOC,Sand,Slope,TWI,pH
1,134.8317,139,101,183,-10,121,195,579,6.5490313,7.008729445,55
1,281.2454,138,100,181,-2,120,215,569,4.7452064,7.325084779,56
1,243.56923,138,92,194,-17,140,202,558,2.0827873,8.262840055,55
1,122.31853,139,116,213,-1,120,299,524,11.966794,6.449241314,55
1,98.08305,137,114,208,-13,135,301,549,6.5673566,7.081704462,56
1,233.29341,138,90,196,-11,88,232,572,9.229656,6.412223345,55
1,110.444046,139,100,197,23,69,218,574,7.9152856,6.427389256,54
1,206.69766,137,75,154,-11,129,250,644,2.0754328,8.185155056,54
1,163.20856,139,86,207,-9,125,288,587,9.597203,6.652539311,56
1,266.20804,138,86,207,-13,115,241,587,13.754047,6.274958072,56
1,0,136,79,183,-4,155,259,641,7.3788605,7.162052356,55
1,134.83224,139,90,182,3,135,233,596,3.9403586,7.609851719,54
1,38.826073,135,71,207,-5,116,237,598,5.9314036,7.092699403,54
1,90,139,80,181,-7,104,265,581,4.654327,7.190358723,54
1,158.08286,139,89,191,7,97,250,588,9.897833,6.409333742,55
1,296.4313,140,81,188,-22,92,211,587,6.2263737,6.769363295,56
1,33.845078,137,90,190,12,93,196,582,3.3463607,7.444386651,55
1,163.96507,138,114,216,2,127,227,554,6.724218,7.057887208,56
1,0,139,111,224,2,57,243,484,1.8543341,7.557487298,55
1,180,138,87,205,8,88,246,574,2.7802885,7.609855276,55
1,270,139,90,220,-3,98,232,576,4.6545734,7.142903285,55
1,327.84204,139,97,214,4,88,259,576,8.69713,6.49263324,56
1,61.52778,139,81,170,-8,104,255,624,11.515495,6.353115089,56
0,14.120204,136,101,207,-13,33,225,486,3.819879,6.261873968,54
0,270,137,81,149,-4,133,261,653,6.5021315,7.134636617,54
0,56.47248,139,104,213,-1,44,186,483,3.3545828,6.707957858,55
0,270,138,101,208,3,31,190,509,0.93314195,7.728255251,55
0,26.707397,133,95,195,-4,39,243,563,2.0756102,7.055204684,54
0,90,138,109,206,-6,28,207,570,4.6562467,5.973549198,54
0,270,137,81,162,0,155,235,623,1.8650477,8.487182936,55
0,270,139,82,201,-11,61,204,533,1.86551,7.551474272,54
0,134.82594,138,83,213,1,51,188,518,1.3154418,7.799231163,54
0,37.032787,139,96,202,1,119,195,585,4.637231,7.356110674,55
0,0,140,99,186,4,67,209,582,0.92740995,8.413959494,54
0,90,138,95,202,0,124,219,587,3.7267218,7.621636361,55
0,63.575436,138,91,198,1,34,208,520,4.1609883,6.258301149,54
0,0,134,103,199,-7,28,240,559,0,-9999,54
0,29.885008,136,88,180,11,248,283,641,7.4459558,7.587864522,55
0,0,138,96,194,14,51,193,537,0,-9999,55
0,63.572655,139,114,206,-7,51,174,457,4.1605835,6.628145815,56
0,0,138,77,200,1,55,215,532,0.92740995,8.183943064,53
0,341.4662,140,70,154,11,100,221,642,2.932114,7.662978572,55
0,180,139,91,215,17,42,191,532,0.92740995,8.015320351,55
0,276.30176,140,94,217,-2,58,199,527,8.38932,6.118778566,55
0,270,138,76,200,-8,92,188,571,5.5805,6.879657158,54
0,198.54337,136,112,215,-4,22,233,551,2.9322774,6.267411679,54
